Date,Open,High,Low,Close,Adj Close,Volume
2006-07-01,61.799999,67.940002,61.630001,67.739998,47.481384,419971700
2006-08-01,67.239998,71.220001,67.010002,67.669998,47.432312,507318400
2006-09-01,67.849998,68.650002,63.869999,67.099998,47.251011,474291100
2006-10-01,67.290001,72.330002,64.839996,71.419998,50.293091,458300600
2006-11-01,71.580002,77.370003,70.269997,76.809998,54.088665,407406000
2006-12-01,76.779999,79.000000,74.820000,76.629997,54.195866,386455900
2007-01-01,76.260002,76.269997,70.639999,74.099998,52.406528,504732000
2007-02-01,74.580002,76.099998,71.180000,71.680000,50.695023,401419000
2007-03-01,70.900002,76.349998,69.019997,75.449997,53.588562,611224400
2007-04-01,75.349998,80.879997,75.279999,79.379997,56.379860,451394900
2007-05-01,79.500000,84.320000,79.050003,83.169998,59.071724,443527200
2007-06-01,83.559998,86.580002,80.849998,83.879997,59.833210,506912200
2007-07-01,84.500000,93.620003,84.120003,85.129997,60.724842,559643700
2007-08-01,84.989998,87.900002,78.760002,85.730003,61.152840,687544000
2007-09-01,85.309998,93.660004,83.879997,92.559998,66.288750,446258200
2007-10-01,92.449997,95.269997,89.669998,91.989998,65.880547,513452200
2007-11-01,89.830002,90.949997,83.370003,89.160004,63.853775,548075900
2007-12-01,88.970001,95.099998,87.709999,93.690002,67.358864,386223600
2008-01-01,94.150002,94.739998,77.550003,85.699997,61.614414,614692200
2008-02-01,87.699997,90.169998,80.360001,87.010002,62.556248,491055000
2008-03-01,86.830002,88.500000,81.970001,84.580002,61.071663,608218000
2008-04-01,84.800003,94.930000,84.260002,93.070000,67.201958,483071200
2008-05-01,90.099998,96.120003,87.599998,88.760002,64.089874,575856500
2008-06-01,88.089996,90.500000,84.769997,88.129997,63.919285,565696300
2008-07-01,87.870003,89.629997,79.099998,80.430000,58.334587,685444100
2008-08-01,80.550003,81.500000,76.139999,80.010002,58.029999,543017900
2008-09-01,78.040001,82.000000,71.510002,77.660004,56.613216,770778000
2008-10-01,77.190002,81.750000,56.509998,74.120003,54.032619,1384259200
2008-11-01,73.449997,81.029999,67.540001,80.150002,58.428410,1006470600
2008-12-01,77.889999,83.639999,72.680000,79.830002,58.529770,996412900
2009-01-01,80.059998,82.730003,74.010002,76.480003,56.073627,844182900
2009-02-01,76.059998,80.500000,67.900002,67.900002,49.782928,771508100
2009-03-01,67.000000,71.489998,61.860001,68.099998,50.181171,933460300
2009-04-01,67.040001,71.150002,64.500000,66.669998,49.127438,632859600
2009-05-01,67.129997,71.389999,65.599998,69.349998,51.102253,530458500
2009-06-01,70.459999,74.830002,68.080002,69.910004,51.822330,596987800
2009-07-01,70.669998,72.790001,64.459999,70.389999,52.178139,560318900
2009-08-01,70.959999,71.889999,66.089996,69.150002,51.258957,437664700
2009-09-01,68.930000,71.080002,67.830002,68.610001,51.169331,419180700
2009-10-01,68.389999,75.000000,66.110001,71.669998,53.451469,501283200
2009-11-01,72.050003,76.540001,71.040001,75.070000,55.987179,356438100
2009-12-01,76.000000,76.300003,67.639999,68.190002,51.152096,648945000
2010-01-01,68.720001,70.599998,64.019997,64.430000,48.331558,596474300
2010-02-01,65.769997,67.230003,63.560001,65.000000,48.759144,534843200
2010-03-01,65.360001,67.889999,65.080002,66.980003,50.572197,582728200
2010-04-01,67.269997,70.000000,66.849998,67.769997,51.168694,531285400
2010-05-01,68.110001,68.220001,58.459999,60.459999,45.649384,768609600
2010-06-01,60.380001,64.500000,56.919998,57.070000,43.382454,808522600
2010-07-01,56.980000,61.880001,55.939999,59.680000,45.366463,613489500
2010-08-01,60.639999,62.990002,58.049999,59.110001,44.933178,475629700
2010-09-01,60.040001,62.439999,59.720001,61.790001,47.306503,423362300
2010-10-01,62.320000,66.809998,61.799999,66.489998,50.904839,430427600
2010-11-01,66.720001,71.900002,66.629997,69.559998,53.255238,486318500
2010-12-01,70.379997,73.690002,70.379997,73.120003,56.333275,409237200
2011-01-01,73.720001,80.820000,73.639999,80.680000,62.157658,449380100
2011-02-01,81.139999,88.230003,81.040001,85.529999,65.894203,443594000
2011-03-01,86.410004,86.500000,78.800003,84.129997,65.157181,439334000
2011-04-01,84.720001,88.000000,82.379997,87.980003,68.138931,309722400
2011-05-01,88.099998,88.129997,79.419998,83.470001,64.646034,403834500
2011-06-01,83.550003,83.650002,76.720001,81.379997,63.384804,444344200
2011-07-01,81.190002,85.410004,79.760002,79.790001,62.146420,375467600
2011-08-01,80.820000,81.180000,67.029999,74.019997,57.652328,774165900
2011-09-01,74.150002,74.980003,67.930000,72.629997,56.943249,550523400
2011-10-01,72.050003,82.199997,69.209999,78.089996,61.223984,514198800
2011-11-01,75.820000,80.529999,73.900002,80.440002,63.066437,444321100
2011-12-01,80.199997,85.629997,78.660004,84.760002,66.849365,380150300
2012-01-01,85.970001,87.940002,83.459999,83.739998,66.044891,333545900
2012-02-01,84.230003,87.830002,83.190002,86.500000,68.221672,300700700
2012-03-01,86.470001,87.250000,84.050003,86.730003,68.777473,338912600
2012-04-01,86.599998,87.669998,81.879997,86.339996,68.468201,300234500
2012-05-01,86.459999,87.519997,78.410004,78.629997,62.354130,353685200
2012-06-01,77.870003,85.699997,77.129997,85.570000,68.325058,497990800
2012-07-01,85.440002,87.849998,82.830002,86.849998,69.347076,314314800
2012-08-01,87.019997,88.910004,85.500000,87.300003,69.706406,248010000
2012-09-01,87.330002,92.570000,86.519997,91.449997,73.494614,254195800
2012-10-01,91.790001,93.669998,89.680000,91.169998,73.269577,241112300
2012-11-01,90.250000,92.050003,85.059998,88.139999,70.834480,285676100
2012-12-01,88.550003,90.370003,84.699997,86.550003,69.992157,282441200
2013-01-01,87.790001,91.930000,87.239998,89.970001,72.757874,261496700
2013-02-01,90.440002,90.500000,87.610001,89.550003,72.418228,237182000
2013-03-01,89.070000,90.980003,87.900002,90.110001,73.336632,265045600
2013-04-01,90.129997,90.989998,85.019997,88.989998,72.425133,296347200
2013-05-01,88.519997,93.500000,87.480003,90.470001,73.629654,276095000
2013-06-01,90.529999,92.269997,88.019997,90.349998,74.040642,291767600
2013-07-01,90.389999,95.489998,89.959999,93.750000,76.826904,237784200
2013-08-01,92.690002,93.099998,86.389999,87.160004,71.426506,271631600
2013-09-01,87.699997,89.870003,85.610001,86.040001,70.996002,238532800
2013-10-01,85.989998,90.959999,84.790001,89.620003,73.950035,287672200
2013-11-01,89.739998,96.000000,88.269997,93.480003,77.135109,250351200
2013-12-01,93.269997,101.739998,92.919998,101.199997,84.073471,269290800
2014-01-01,100.599998,101.220001,91.699997,92.160004,76.563354,256867500
2014-02-01,91.919998,97.250000,89.250000,96.269997,79.977783,253283700
2014-03-01,95.760002,98.849998,93.010002,97.680000,81.723915,255698300
2014-04-01,97.650002,102.570000,96.239998,102.410004,85.681282,230896100
2014-05-01,101.959999,103.449997,100.320000,100.529999,84.108368,179886600
2014-06-01,100.529999,104.610001,99.589996,100.680000,84.805763,208876600
2014-07-01,101.150002,104.760002,98.930000,98.940002,83.340103,189374200
2014-08-01,98.620003,100.430000,97.629997,99.459999,83.778114,187451500
2014-09-01,99.430000,99.589996,93.620003,94.050003,79.772972,231833300
2014-10-01,94.110001,96.889999,86.910004,96.709999,82.029205,342094700
2014-11-01,96.559998,97.199997,90.110001,90.540001,76.795815,218128400
2014-12-01,90.360001,95.330002,86.190002,92.449997,78.982010,400812400
2015-01-01,92.250000,93.050003,86.029999,87.419998,74.684784,326724000
2015-02-01,87.849998,93.449997,87.500000,88.540001,75.641624,276447700
2015-03-01,88.339996,88.519997,82.680000,85.000000,73.163918,330260500
2015-04-01,85.699997,88.669998,83.809998,87.370003,75.203896,251671200
2015-05-01,87.849998,90.089996,84.769997,85.199997,73.336067,198924100
2015-06-01,85.250000,85.970001,82.800003,83.199997,72.206886,238799200
2015-07-01,83.279999,83.529999,78.930000,79.209999,68.744080,273534100
2015-08-01,78.699997,79.290001,66.550003,75.239998,65.298630,387356600
2015-09-01,73.300003,75.470001,71.510002,74.349998,65.129967,316644500
2015-10-01,75.199997,83.879997,73.029999,82.739998,72.479530,318050000
2015-11-01,82.300003,87.440002,77.910004,81.660004,71.533470,264207900
2015-12-01,81.760002,82.129997,73.790001,77.949997,68.878807,366953700
2016-01-01,77.500000,79.919998,71.550003,77.849998,68.790436,418597900
2016-02-01,76.660004,83.440002,73.550003,80.150002,70.822777,359915800
2016-03-01,80.559998,85.099998,80.309998,83.589996,74.532860,292841700
2016-04-01,82.400002,89.779999,81.989998,88.400002,78.821693,221737100
2016-05-01,88.239998,90.459999,87.230003,89.019997,79.374496,218945200
2016-06-01,88.430000,93.830002,87.610001,93.739998,84.285545,252033000
2016-07-01,93.360001,95.550003,86.120003,88.949997,79.978645,209716200
2016-08-01,88.080002,88.940002,85.580002,87.139999,78.351204,235412300
2016-09-01,86.720001,89.370003,82.290001,87.279999,79.146294,271447100
2016-10-01,86.940002,88.669998,82.989998,83.320000,75.555344,192041100
2016-11-01,83.500000,88.190002,82.760002,87.300003,79.164444,232960700
2016-12-01,87.980003,93.220001,86.599998,90.260002,82.573349,220435500
2017-01-01,90.940002,91.339996,83.129997,83.889999,76.745811,252514500
2017-02-01,84.000000,84.160004,80.760002,81.320000,74.394684,237345100
2017-03-01,81.699997,84.250000,80.309998,82.010002,75.711990,315475000
2017-04-01,82.019997,83.550003,80.300003,81.650002,75.379631,192624700
2017-05-01,81.510002,83.230003,80.470001,80.500000,74.317940,220122400
2017-06-01,80.370003,83.690002,79.260002,80.730003,75.234093,303836700
2017-07-01,80.790001,82.489998,78.269997,80.040001,74.591057,201333900
2017-08-01,80.160004,80.820000,76.050003,76.330002,71.133621,224413200
2017-09-01,76.370003,82.449997,76.320000,81.980003,77.139511,216249200
2017-10-01,81.300003,84.239998,81.250000,83.349998,78.428612,172408300
2017-11-01,83.389999,84.139999,80.010002,83.290001,78.372154,191810600
2017-12-01,83.440002,84.360001,82.169998,83.639999,79.429863,220445900
2018-01-01,83.820000,89.300003,83.660004,87.300003,82.905632,233915000
2018-02-01,87.500000,89.250000,73.900002,75.739998,71.927521,369414700
2018-03-01,75.529999,76.980003,72.669998,74.610001,71.578934,356136600
2018-04-01,74.269997,80.900002,72.160004,77.750000,74.591370,284689400
2018-05-01,77.260002,82.650002,75.400002,81.239998,77.939590,299337700
2018-06-01,81.870003,83.790001,79.300003,82.730003,80.173546,257136500
2018-07-01,81.889999,84.400002,80.709999,81.510002,78.991249,204469200
2018-08-01,80.889999,81.589996,76.510002,80.169998,77.692650,215070800
2018-09-01,80.410004,87.360001,79.599998,85.019997,83.242615,227023600
2018-10-01,85.349998,86.889999,76.220001,79.680000,78.014252,305909200
2018-11-01,79.830002,83.750000,74.699997,79.500000,77.838013,287081300
2018-12-01,80.239998,81.949997,64.650002,68.190002,67.441261,380647000
